feature;mean;std;used
distToGoalLine;15.930207612456748;8.520058996794551;1
distToCenter;7.786845938375349;5.2201237665066;1
weakFoot;0.18866370077442743;0.3912476878714778;1
counterAttack;0.055692865381446695;0.22933142674397106;1
corner;0.023924864063272367;0.15281765125037938;1
smartPass;0.04264293952875268;0.20205411311643012;1
duel;0.36875926841324763;0.48247646741037054;1
shotBefore;0.021057834898665348;0.14357953142714186;1
angleClip;36.94625627632563;5.8718678088086165;1
frontOfGoal;0.01888284725654968;0.13611354039183185;1
headDistToGoalLine;1.440968858131488;3.7213713754703233;1
